year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	ProductionType_Name	ActualConsumption	ActualGenerationOutput	SubmissionTS
2016	3	2	2016-03-02 00:00:00.000	CTY	France	FR	Hydro Pumped Storage 	2325	0	2016-03-02 01:52:21.000
2016	3	2	2016-03-02 01:00:00.000	CTY	France	FR	Hydro Pumped Storage 	2720	0	2016-03-02 02:50:23.000
2016	3	2	2016-03-02 02:00:00.000	CTY	France	FR	Hydro Pumped Storage 	2835	0	2016-03-02 03:38:12.000
2016	3	2	2016-03-02 03:00:00.000	CTY	France	FR	Hydro Pumped Storage 	2831	0	2016-03-02 04:50:16.000
2016	3	2	2016-03-02 04:00:00.000	CTY	France	FR	Hydro Pumped Storage 	2811	0	2016-03-02 05:54:13.000
2016	3	2	2016-03-02 05:00:00.000	CTY	France	FR	Hydro Pumped Storage 	1051	0	2016-03-02 06:51:18.000
2016	3	2	2016-03-02 06:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	902	2016-03-02 07:52:30.000
2016	3	2	2016-03-02 07:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	861	2016-03-02 09:01:56.000
2016	3	2	2016-03-02 08:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	1861	2016-03-02 09:51:14.000
2016	3	2	2016-03-02 09:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	1175	2016-03-02 10:53:12.000
2016	3	2	2016-03-02 10:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	538	2016-03-02 11:52:42.000
2016	3	2	2016-03-02 11:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	312	2016-03-02 12:53:58.000
2016	3	2	2016-03-02 12:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	140	2016-03-02 13:50:20.000
2016	3	2	2016-03-02 13:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	36	2016-03-02 14:42:33.000
2016	3	2	2016-03-02 14:00:00.000	CTY	France	FR	Hydro Pumped Storage 	125	0	2016-03-02 15:51:17.000
2016	3	2	2016-03-02 15:00:00.000	CTY	France	FR	Hydro Pumped Storage 	76	0	2016-03-02 17:16:41.000
2016	3	2	2016-03-02 16:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	272	2016-03-02 17:51:17.000
2016	3	2	2016-03-02 17:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	1103	2016-03-02 18:52:18.000
2016	3	2	2016-03-02 18:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	2783	2016-03-02 19:52:13.000
2016	3	2	2016-03-02 19:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	1829	2016-03-02 20:52:12.000
2016	3	2	2016-03-02 20:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	941	2016-03-02 21:55:12.000
2016	3	2	2016-03-02 21:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	1640	2016-03-02 22:53:53.000
2016	3	2	2016-03-02 22:00:00.000	CTY	France	FR	Hydro Pumped Storage 	0	840	2016-03-02 23:50:17.000
2016	3	2	2016-03-02 23:00:00.000	CTY	France	FR	Hydro Pumped Storage 	1401	0	2016-03-03 00:48:14.000
2016	3	3	2016-03-03 00:00:00.000	CTY	France	FR	Hydro Pumped Storage 	2186	0	2016-03-03 01:46:20.000
